,0
0,充满了穷途末路的气息。
1,的确在今年看，具有抚慰人心的力量，但也就抚慰了不到3分钟吧～
2,又挤又破的地铁，黄色的出租车，雄壮的布鲁克林大桥，哈德逊河上远眺万家灯火，曼哈顿的秋色，小酒吧里的爵士乐，这就是纽约啊。理想如果都实现了，那然后呢？你会继续问自己，人活着最重要是什么？不是爱，不是恨，不是痛，也不是成功与失败，而是感知，有些人把它看作是庸俗的生活，有人却认为它是活着的全部意义。两首歌太好听了，听完瞬间觉得生活美好了起来。
3,未必有所成才算活着，梦想也不是什么了不起的东西，只喜欢看天、走路、吃披萨的人生也很好。（皮克斯送给社畜社恐的一记摸头
4,理发师用剃刀也能救人危难，造型师用针线也会缝补梦想。枝头掉落的树叶，街头鼓起的排风，地铁里忙碌人群中的歌声，角落里饥肠辘辘时的披萨，当你爱上生活的一刻，就找到了激活生命的火花。原来每天有那么多灵魂经历个体的锤炼，性格的塑造，奋力冲向地球。也会有无数灵魂被生活压垮，迷失进漠漠荒野。
5,"一部极有可能拿到奥斯卡最佳动画长片/最佳原创配乐的电影；
一部迪士尼皮克斯近乎满分的作品；
一个出品23部长篇动画电影，拿下10个奥斯卡奖杯的工作室；
排片2%"
6,3.5。凡尔赛动画，男主体验了得尝所愿，享受了人生巅峰，回头规劝大家平平淡淡才是真，能活着就是美好。？？？
7,我们不是平庸的在活着，我们从生下来的那一刻，就已经有了意义，而那意义就是，珍惜当下的每一刻
8,“灵魂不会被压垮，压垮你的是生活啊。”三十岁的社畜看的内心澎湃，但为了维持成年人的体面又要在黑暗的影院里哭的默不作声。22迷失后，黑暗内里一句句话砸过来“你做不到”“找不到火花”“这不是目标，这是平庸的生活”和抑郁症发病的自我攻击好像…戳的我好久没缓过来。沉入心流和陷入执念只有一线之隔的设定好赞，基金经理被黑的又搞笑又辛酸XD～但故事和人物塑造还是比《寻梦》的完成度差一点点。
9,一部“圣诞（半）福音”动画，和《生活真美好》拥有同个内核，算档期应景了。当然片中的“生之来处”并非是传统意义上基督教的“天堂”，而是来自宇宙高纬度的“量子空间”，甚至只要忘我就可以投魂而入，倒是接近于“天人合一之际”的概念。千年的厌世灵魂在世间走一遭，体会到了生活的乐趣；世俗意义上过着无趣日子的“音乐打工人”也在变换人生的反观后，意识到生活的本质不是苦追目标而是“活在当下”。两个故事都挺暖心，同时也稍显保守，后半段“美式畅销生活哲学”的气息扑面。不过“在世”也确实应如此， “寄蜉蝣于天地，渺沧海之一粟。哀吾生之须臾，羡长江之无穷。挟飞仙以遨游，抱明月而长终。”一生的光阴就在每一瞬，我们与世界的关系很多时候是“时隐时现”的，隐时如风吹过，现时啃个披萨，没有目标就是目标，没有意义也是意义。
10,因为Disney+Pixar这样的存在 才使我对现代动画充满向往  我不仅向往那每一帧的画面 更向往那群创造奇迹的地方 
11,我他妈 真也没想到能这么好
12,皮克斯献给“打工人”的年度治愈之作，这才是真正适合圣诞节和年底看的心灵大片。如果让我选一部电影跨年，我会推荐《soul》，它不但让我想要珍惜那些生命中的小美好，更是让我想要感谢那些生命中照亮过我的人和事。以及不得不说，音乐太适合灵魂这个主题了，全片的音乐太动人了。
13,3.5.几乎是靠音乐撑到最后的，年度OST逃不掉。内容也很有趣，会让我想起《寻梦环游记》，都是经历死亡之后找寻真心和真自我的故事。惊喜没太多，就动画做的很讨喜。这片让我想起当年大银幕刷《爱乐之城》的狂喜，大陆上院线希望能刷一次IMAX。
14,你以为所有的故事都被讲完了，皮克斯给你讲一个所有元素都见过但前所未有的故事。终于梦想和目标都不再重要，feel it
15,"一个人坐在电影院的后排小声哭泣。
今年就要过去了，
我依然没有拿到地球的通行证。"
16,"后劲好强一电影。真·催泪神片不是让你当场落泪，而是看完电影时时想起，时时落泪。
看预告以为电影是《寻梦环游记》+《头脑特工队》，事实证明皮克斯这次依旧有新意！脑洞与笑点兼备，灵魂们萌到尖叫，“人生的意义究竟是什么”，对此抱有疑惑的人，一定会在观影后找到自己的答案。
相比“老少咸宜”，它更像是献给成年人的一剂治愈药。没有任何说教，而是用温柔细腻的触角，一点点托起你心底的共鸣。小心了，走出电影院，或许你看待世界的方式，会有所不同。"
17,电影好残酷，都说应学会放下，但倘若从未得到过，又有什么资格说不想要？有机会挑拣快乐的人都是曾爬上巅峰看过风景的人，而平凡如我们，只能将脚下俯首即是的通通当作快乐，欺骗自己生命已足够美好。决定笑着告别，将生命拱手相让，不是爱的传递，而是心已死、梦已碎。一部纯粹的情绪电影：如果得到了，再多表达一点都会破坏这种得到；如果没有得到，不会寻找原因，只会感到遗憾。
18,《头脑特工队》关于情绪，《心灵奇旅》关于性格与灵魂，皮克斯已经不屑于讲述简单“物”的故事，而是用最直接形象的方式拉开生活哲学命题，那是得经历了怎样的人生才能捕捉到的细节，完美幻化在作品里。执念的灵魂在忘我之境无去无从，而“我会享受活在当下的每一分钟”。
19,D＋ / 开头被一些时刻的画风惊艳了一下之后就没有然后了（这些闪光只是一些单纯的“奇幻”）。好像是第一次感觉皮克斯被设定给束缚住了。一方面，灵魂学院已经给出了如百科全书般的再生产逻辑；另一方面，在这个系统里的glitch又极其幼稚（试对比《无敌破坏王》中系统崩溃的实质性灾难）。影片在给出这一组二元对立之后，仿佛全然未考虑这背后同样封闭的世界观，甚至还在庸常的奇葩说式对比里兜兜转转了大半程，才引向生活感知这一似乎能够打开些罅隙的论题——但实际上光靠那中后段的那几处功能性的补充根本撑不起这种大跨度高强度的解域构想。最终只能继续用这种文本上的设定操纵人物转折修复系统来达成欣欣然的结尾，着实兴味寡然……到头来更像是为了一些作画小点子搞出来的鸡汤大杂烩。
20,那些可以深刻在记忆中的生命碎片，就是你人生的全部意义啊！不是每个人都能成为伟人，但普通的一生仍弥足珍贵。生而为人，莫留遗憾。这是一部属于普通人、属于你我的励志片。仍然保持了适度的有趣，以及戳心式的感动。虽然没有《头脑特工队》那么戳我，但彼特·道格特仍然非常强。尤其是，太擅长这种走心的故事了。虽然总是有点鸡汤，但还是很好看，厉害。
21,感谢盗梦的提前观影。独特不媚俗的故事，献给思考者和自省者。世界观设计延续inside out和coco的惊艳，故事在传统技巧和克制走心之间寻找平衡，个人感受并不煽情，毕竟这对主角的人物关系没有家庭或情人、隐性情人的普世化支撑， 还用了荣格和美钞这种梗做笑点，可能对市场不是太讨喜
22,"“灵魂”，听起来就很难拍，“人生”，听起来就很俗气，但皮克斯就是有此般魔力，把抽象概念表现得幽默易懂、把世间之情表达得深刻动人。
是啊，屈服于现实又如何？不甘于平凡又如何？当黑白的琴键化为Joe毕生的彼岸，当美味的披萨点燃22心中的火花，当自创的奖杯满足Terry可笑的偏执，当珍藏的西服装扮母亲少有的骄傲，终将有那么一些瞬间，让我们觉得不枉此行，足矣。
而Joe思考人生的桥段，也正在那一瞬，成为我，作为影迷，始终追寻的火花。"
23,真的真的不必觉得排片少，目前口碑扩散还需要时间，中国的电影市场只是反应有延迟，晴雅集那股粉丝劲一过，就是这片翻盘之时，作为院线工作者很淡定地告诉大家，这片子不是不爆，只是时候未到。票房反超晴雅集甚至屠榜仅仅时间问题而已，毕竟有太多优秀动画片都是长线放映一两个月。
24,"虽也套着“梦想、成长、亲情、人生”等诸多易流于大词的外衣，但皮克斯以不竭的想象力和繁盛的创造力，再次定义其工业标杆的当之无愧，某些场景几乎与实景无异。

开场貌似平平无奇（差点以为又要讲一个流俗治愈故事），突然拐入生死临界的中阴区，目标未竟拒去彼岸，踏入生前灵魂聚集地，原来每个独特灵魂是这般批量训导出来的，唯有一颗不羁的千年老魂灵拒绝去往那百无聊赖的生地，共同演绎一出寻求生命奥义与终极火花的跨界悲喜剧，在红尘中感受生的愉悦和希望的不灭。

配乐甚好，凝神进入“忘我之境”；金句频出——“灵魂不会击垮你，只有生活才会。”笑点与泪点都掐得很准，含猫量十足，一部特别适合年底收尾的片——“珍惜当下的每一刻”。"
25,格外理解二十二。小时候被名人励志，长大才发现那真是一种无垠的压力，万里挑一的人以巨大的差距提醒你越来越是个失败者，你永远不够好。但观星赏月，听虫嗅花，也是人生最无用又最有用的修行，生活过得越来越糟心，不贪这星星点点的美好，撑一撑，顶一顶，我们这些庸碌之辈，早该熄灭了吧。颓败了一整年，我太感激这部温热的电影了，依然有绝佳的想象力供人移情，真想陪他们，在忘我或迷失时，哭哭啼啼一回。活着真的很不如意，但还能活着，真的很幸运。能跟所爱之人来看，也很幸运。影院这低排片真是叫人不齿。
26,"#LFF2020 / 加入2D元素，毕加索风格的Jerrys,震撼的Great Beyond世界，色调温柔舒适的Great Before世界，让人听到入迷的爵士乐， 以及带有对“灵魂”与“存在”哲学性思考的内核; 画面音乐剧情都将近完美，艺术风格抽象但又充满力量。      皮克斯在成立将近35年后又登上了一个新的台阶😭"
27,未必有所成才算活着，梦想也不是什么了不起的东西，只喜欢看天、走路、吃披萨的人生也很好。（皮克斯送给社畜社恐的一记摸头
28,看完没有被鸡汤到 反而失落的很 我热爱生命 敬畏自然 保持一双发现美与善的眼睛 我的家人爱我 朋友支持我 我特别健忘什么事情都不记得 我不控制食欲想吃什么就马上吃 可是我都觉得活着好不开心啊 没有“火花” 没有梦想 没有热爱 没有一技之长 赤裸地来赤裸地去 又何苦非要白白走这一遭呢 
29,"#LFF2020# 4
和灵魂乐的关系算是点到为止。有点失望。"
30,"高纳终于实现了梦想，但他突然发现，他追求了一辈子的东西并不是他想象中那么高大上。
他突然发现，他为了他的爵士梦，错过了太多太多。
他错过了和母亲相处的机会，错过了丽莎……错过了除了爵士之外的一切。
很多电影都是给我们灌输成功学、心灵鸡汤，讲述主角努力追求梦想，最后就实现了梦想。
仿佛在说，只要你努力就能成功，如果你没成功，就说明你还不够努力。
皮克斯却告诉我们，并不是一定要有多么伟大的成就才算活着，就算没有成功又怎样呢？恰恰相反，一味追求成功而忘记了享受生活，这才是最遗憾的。
无论是看天空、走路，还是和家人相处、和爱人看海……只要你用心去感受，这些微不足道的事情其实都十分精彩而美好。
生活的真谛不是什么宏伟的梦想，恰恰就是那些生活中平凡的小事。
追求梦想是最不重要的，看天空、走路、吃披萨才是正事！"
31,惟江上之清风，与山间之明月，耳得之而为声，目遇之而成色。取之无禁，用之不竭。是造物者之无尽藏也，而吾与子之所共适。
32,把晴雅集的排片多给些soul不行吗 
33,比《头脑特工队》更加成人化，将冒险置于现实世界而非抽象空间是和前作最根本的区别，也是这一部为何显得更“高级”（关于日常生活的现实主义动画）的同时牺牲了一部分观赏趣味性（好莱坞动画常规的笑料、煽情）的原因之一：情感高潮蒙太奇的落脚点在于观众和角色共同经历的平凡且琐碎时光（走路、坐地铁、吃披萨、理发等等），打破对理想的热情追求这一虚设主题，从而制造主题的反转和拔高。
34,No. 
35,当树叶落入男主手心，我和主人公一起顿悟：原来生活本身就是幸福。当我们渴望大海，却忘记了我们一直身处海中央。无需台词，甚至无需配乐，几个闪回镜头足以扣人心弦。《寻梦环游记》用音乐找回亲情，而《心灵奇旅》用音乐拥抱生活，拥抱真实的人生。
36,我听过关于一条鱼的故事。小鱼游到一条老鱼的旁边说：“我要找到他们称之为大海的东西”。“大海？” 老鱼问：“你现在就在大海里啊。” “这儿？” 小鱼说：“这儿是水，我想要的是大海。” 目标不是人生的spark，生活本身才是。看完此片，关掉电脑，所有曾经拥有的Spark，纷纷涌上心头。
37,继寻梦环游记后又一部探讨人的来处和去处的电影，the Great B4场景和人设很梦幻Q弹。皮克斯第一部以黑人为主角的动画，对爵士乐不是太懂，有一定文化理解门槛。变猫之后的习惯性动作细节很可爱，舔菊花、晒太阳等等。有点虎头蛇尾，结尾要是男主和22还能再次相遇就好了（知道很俗套
