,index,userID,inTime,inLine,inStation,outTime,outLine,outStation,transfered_inTime,transfered_outTime,dayName,Day,temp,conditions,timecs
0,14495,501731973,2015-04-01 05:18:58,7,上海大学站,2015-04-01 06:01:00,7,静安寺,19138.0,21660.0,2,1,15.8,mist,2522.0
1,4381,501731973,2015-04-01 05:18:58,7,上海大学站,2015-04-01 06:01:00,7,静安寺,19138.0,21660.0,2,1,15.8,mist,2522.0
2,14825,2703430117,2015-04-01 06:13:52,7,上海大学站,2015-04-01 06:44:24,7,静安寺,22432.0,24264.0,2,1,15.8,mist,1832.0
3,4711,2703430117,2015-04-01 06:13:52,7,上海大学站,2015-04-01 06:44:24,7,静安寺,22432.0,24264.0,2,1,15.8,mist,1832.0
4,14758,2503342758,2015-04-01 06:15:01,7,上海大学站,2015-04-01 06:44:38,7,静安寺,22501.0,24278.0,2,1,15.8,mist,1777.0
5,4644,2503342758,2015-04-01 06:15:01,7,上海大学站,2015-04-01 06:44:38,7,静安寺,22501.0,24278.0,2,1,15.8,mist,1777.0
6,14976,3103288104,2015-04-01 06:15:00,7,上海大学站,2015-04-01 06:44:41,7,静安寺,22500.0,24281.0,2,1,15.8,mist,1781.0
7,4862,3103288104,2015-04-01 06:15:00,7,上海大学站,2015-04-01 06:44:41,7,静安寺,22500.0,24281.0,2,1,15.8,mist,1781.0
8,4736,2802935501,2015-04-01 06:15:01,7,上海大学站,2015-04-01 06:44:46,7,静安寺,22501.0,24286.0,2,1,15.8,mist,1785.0
9,14850,2802935501,2015-04-01 06:15:01,7,上海大学站,2015-04-01 06:44:46,7,静安寺,22501.0,24286.0,2,1,15.8,mist,1785.0
10,14556,2004362235,2015-04-01 06:14:52,7,上海大学站,2015-04-01 06:49:58,7,静安寺,22492.0,24598.0,2,1,15.8,mist,2106.0
11,4442,2004362235,2015-04-01 06:14:52,7,上海大学站,2015-04-01 06:49:58,7,静安寺,22492.0,24598.0,2,1,15.8,mist,2106.0
