,00:00,00:30,01:00,01:30,02:00,02:30,03:00,03:30,04:00,04:30,05:00,05:30,06:00,06:30,07:00,07:30,08:00,08:30,09:00,09:30,10:00,10:30,11:00,11:30,12:00,12:30,13:00,13:30,14:00,14:30,15:00,15:30,16:00,16:30,17:00,17:30,18:00,18:30,19:00,19:30,20:00,20:30,21:00,21:30,22:00,22:30,23:00,23:30
502,0,0,0,0,0,0,0,0,0,0,0,3,90,262,529,793,774,573,276,173,103,95,107,105,103,117,139,98,102,105,88,129,165,248,379,598,503,500,354,251,159,143,115,89,74,9,0,0
503,0,0,0,0,0,0,0,0,0,0,0,6,87,289,582,1013,1611,1112,399,243,160,150,140,155,130,168,148,122,130,144,122,173,191,431,715,925,837,639,430,291,174,147,99,84,75,12,0,0
505,0,0,0,0,0,0,0,0,0,0,1,11,248,834,1780,2358,2063,1412,686,391,329,297,266,328,353,308,308,281,286,285,316,334,483,1157,1067,1362,1231,1090,934,561,392,274,281,214,187,45,0,0
507,0,0,0,0,0,0,0,0,0,0,0,15,325,724,1147,1576,1417,923,487,319,262,255,257,250,250,256,236,225,230,237,259,278,333,414,631,862,912,819,722,496,303,259,222,159,137,39,0,0
508,0,0,0,0,0,0,0,0,0,0,0,15,170,491,968,1242,1062,661,322,235,204,159,186,197,193,177,169,196,156,181,171,240,319,334,575,570,579,533,577,432,231,193,187,150,102,51,0,0
509,0,0,0,0,0,0,0,0,0,0,0,42,384,988,1704,2288,1927,1269,750,457,367,337,391,440,436,517,386,406,375,358,417,472,483,874,1228,1338,1427,1316,1025,843,532,379,341,273,226,132,0,0
510,0,0,0,0,0,0,0,0,0,0,0,50,381,619,1229,1407,968,580,316,269,238,198,223,207,211,188,167,179,162,200,228,232,257,600,618,652,586,541,571,450,250,213,208,138,98,71,0,0
511,0,0,0,0,0,0,0,0,0,0,0,71,297,589,1080,1485,911,397,202,161,141,115,108,178,181,161,149,143,148,111,183,293,356,521,502,467,542,503,484,342,226,152,110,139,95,62,0,0
512,0,0,0,0,0,0,0,0,0,0,0,13,23,85,254,406,495,522,224,131,62,60,76,79,76,90,66,77,65,85,68,76,138,296,612,303,138,103,99,65,97,38,37,25,14,8,0,0
513,0,0,0,0,0,0,0,0,0,0,0,80,124,326,662,781,707,524,206,170,115,120,164,138,157,127,103,90,92,78,115,143,327,371,395,426,348,254,241,201,138,127,103,83,70,63,0,0
