,00:00,00:30,01:00,01:30,02:00,02:30,03:00,03:30,04:00,04:30,05:00,05:30,06:00,06:30,07:00,07:30,08:00,08:30,09:00,09:30,10:00,10:30,11:00,11:30,12:00,12:30,13:00,13:30,14:00,14:30,15:00,15:30,16:00,16:30,17:00,17:30,18:00,18:30,19:00,19:30,20:00,20:30,21:00,21:30,22:00,22:30,23:00,23:30
502,0,0,0,0,0,0,0,0,0,0,0,3,52,138,333,521,330,157,92,81,7,39,21,3,-3,-11,-1,2,-6,13,16,15,-7,62,-33,-68,-183,-314,-246,-185,-71,-61,-47,-31,-46,-9,0,0
503,0,0,0,0,0,0,0,0,0,0,0,4,67,183,250,123,-457,-454,-41,-39,-2,0,8,33,16,-6,-14,-10,16,22,6,31,39,157,393,317,109,-183,-240,-109,-66,-25,-23,-26,-43,-12,0,0
505,0,0,0,0,0,0,0,0,0,0,-1,11,154,504,364,236,-39,-130,44,13,37,11,8,28,15,-10,16,-13,-36,11,-20,-26,45,511,171,150,-253,-640,-632,-347,-194,-126,-143,-108,-159,-43,0,0
507,0,0,0,0,0,0,0,0,0,0,0,11,235,546,685,840,535,303,117,95,68,73,15,38,64,70,34,21,20,-19,-5,4,-55,-42,13,8,-372,-529,-530,-332,-193,-125,-114,-129,-125,-39,0,0
508,0,0,0,0,0,0,0,0,0,0,0,15,102,305,322,312,130,31,-2,-37,-46,-13,-42,-7,-33,-19,-39,-48,-36,-25,-35,10,19,-36,-39,-86,-247,-341,-427,-328,-149,-113,-105,-102,-92,-51,0,0
509,0,0,0,0,0,0,0,0,0,0,0,38,296,538,882,868,579,59,6,-65,-47,-35,9,-14,8,7,-2,-82,-53,-60,-13,-140,-59,2,62,-308,-333,-572,-663,-563,-312,-183,-213,-169,-184,-124,0,0
510,0,0,0,0,0,0,0,0,0,0,0,50,345,489,677,1041,752,310,190,21,-2,26,25,25,57,32,33,17,0,-8,8,-62,-41,30,-202,-362,-426,-411,-447,-348,-122,-69,-116,-90,-84,-69,0,0
511,0,0,0,0,0,0,0,0,0,0,0,69,267,479,478,179,283,185,54,7,31,9,-16,58,71,19,7,7,10,-19,1,69,60,219,50,-103,-276,-335,-356,-240,-152,-106,-68,-83,-89,-62,0,0
512,0,0,0,0,0,0,0,0,0,0,0,13,9,-1,-76,-236,-387,-456,-196,-97,-28,-24,-16,7,-16,8,-6,9,5,21,22,28,84,232,566,209,42,25,7,-17,41,-4,3,-13,-14,-6,0,0
513,0,0,0,0,0,0,0,0,0,0,0,80,108,156,218,107,-103,-206,-56,-68,-19,-10,28,34,37,-1,17,6,4,2,-23,-1,155,151,125,34,-120,-152,-169,-145,-82,-91,-65,-67,-70,-63,0,0
